formation info;type formation info;formation magist ere;Class Code;temps rencontre;capacit e r esolution pb;insertion pro;citoyen num erique;Cet enseignement fait partie des mission;Cet enseignement est utile aux apprentis;facilit e mise en oeuvre;objectifs faciles; a l aise avec les connaissances;enseignement code;d ecision enseignement;coll egues enseignent code;mat eriel pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;raison non inscription MOOC;ecriture prog;definition pens ee info;prog affichage;prog tri;d eplacement robot;usages num erique;mettre en ligne;niveau classe;ann ees exp;d epartement;genre;option info;bac;DATE_SAISIE;NUMERO
Oui en dehors de ma formation initiale;"formation en ligne (hors MOOC);formation avec des amis coll egues";Non il n en n existe pas dans mon d epartement;;;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Tout  a fait;Occasionnellement;Jamais;Oui;Oui;"Lettres langues sciences humaines et sociales;Informatique";;Oui le plus long programme comportait moins de 50 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Participation  a des r eseaux sociaux;Ecouter/t el echarger de la musique;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Petite section;Moyenne section";36;49;un homme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);27/04/2017 12:05;1
Non;;;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas encore mais j ai l intention de le faire;"de vous-m eme; a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle";Non;Tout  a fait;Assez souvent;Jamais;Non;;;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;Moyenne section;CP;CE2;CM2";20;49;une femme;Non;Baccalaur eat technologique;27/04/2017 12:31;2
Oui durant ma formation initiale;formation hybride;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Pas encore mais j ai l intention de le faire;;;Plutot non;Syst ematiquement;Tr es souvent;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"Petite section;Grande section;Moyenne section;CP";5;;une femme;Oui;Baccalaur eat g en eral ES (anciennement B);27/04/2017 17:09;3
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot oui;Assez souvent;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM2;19;49;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);27/04/2017 17:39;5
"Oui durant ma formation initiale;Oui en dehors de ma formation initiale";formation hybride;Oui;;;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Oui depuis la rentr ee 2016;de vous-m eme;Oui;Plutot non;Syst ematiquement;Occasionnellement;Oui;Oui;Informatique;;Vous n avez fait que de la programmation en blocs;Non;Oui;Non;;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CE2;CM2";22;49;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);27/04/2017 17:53;6
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Occasionnellement;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;Moyenne section;CP;CE2;CM2";8;49;un homme;Oui;Baccalaur eat g en eral ES (anciennement B);27/04/2017 17:55;7
Non;;;;;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Syst ematiquement;Rarement;Oui;Non;;Les sujets ne vous int eressent pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CE2";25;49;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);27/04/2017 20:06;8
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Syst ematiquement;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;Moyenne section;CP;CM2";7;49;une femme;Non;Baccalaur eat g en eral ES (anciennement B);27/04/2017 20:29;9
Non;;;;;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Jamais;Non;;;;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Non;;;CM2;15;49;un homme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);28/04/2017 08:33;10
Oui en dehors de ma formation initiale;formation hybride;Oui;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Tout  a fait;Assez souvent;Tr es souvent;Oui;Oui;"Enseignement;Informatique;Autre;Sciences et technologies";;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";CM2;36;49;un homme;Non;Baccalaur eat g en eral L (anciennement A);28/04/2017 10:15;11
