formation info;OuiInit;OuiHors;Non;type formation info;Famis;FPres;FL;FH;formation magistère;Capacité résolution problème;Insertion professionnelle;Citoyen numérique;Missions école;Transversalité;Facilité de mise en oeuvre;Clarté des objectifs;Aisance avec les connaissances;;décision enseignement;dvm;sollicitcollec;sollicitinstit;collègues enseignent code;matériels ressources pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;LLSH;Enseignement;Informatique;ST;Autre;raisons non inscription MOOC;ecriture prog;definition pensée info;prog affichage;prog tri;prog déplacement robot;usages numériques;AL;RS;Vidéos;Musique;mettre en ligne;Mettreenligne;Mettreenlignepro;Rien;niveau classe;PS;MS;GS;CP;CE1;CE2;CM1;CM2;années exp;département;genre;diplome option info;bac;enseignement code;label
OuiInit;VRAI;FAUX;FAUX;"Famis;FPres";VRAI;VRAI;FAUX;FAUX;Nonexiste;3;4;4;4;3;3;3;3;;dvm;VRAI;FAUX;FAUX;;;;;;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;14;86;H;Non;L;Oui;1
OuiHors;FAUX;VRAI;FAUX;"FL;FH;FPres";FAUX;VRAI;VRAI;VRAI;Oui;3;3;3;3;4;2;3;3;;sollicitcollec;FAUX;VRAI;FAUX;Non;2;5;3;Oui;Oui;Informatique;FAUX;FAUX;VRAI;FAUX;FAUX;;2;Oui;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CE1;CM1;CE2;CM2";FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;16;72;H;Non;ES;Oui;1
OuiHors;FAUX;VRAI;FAUX;Famis;VRAI;FAUX;FAUX;FAUX;Nonexiste;4;4;4;4;4;4;2;4;;dvm;VRAI;FAUX;FAUX;Oui;3;2;4;Non;;;FAUX;FAUX;FAUX;FAUX;FAUX;;4;Non;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;"Mettreenligne;Mettreenlignepro";VRAI;VRAI;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;35;72;H;Non;ES;Ouiavant;1
OuiHors;FAUX;VRAI;FAUX;"Famis;FPres";VRAI;VRAI;FAUX;FAUX;NonNexistePas;4;2;3;3;3;3;3;3;;sollicitcollec;FAUX;VRAI;FAUX;Oui;2;3;1;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;ManAppNotOK;0;Non;Non;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;33;74;H;Non;L;Oui;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;3;2;2;;dvm;VRAI;FAUX;FAUX;Non;2;3;2;Oui;;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenlignepro;VRAI;VRAI;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;10;86;H;Non;Techno;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;4;4;4;3;2;3;;sollicitinstit;FAUX;FAUX;VRAI;Non;0;2;;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;2;Non;Oui;Non;Oui;AL;VRAI;FAUX;FAUX;FAUX;;FAUX;FAUX;FAUX;CE2;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;35;47;H;Non;ES;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;3;3;1;3;3;;dvm;VRAI;FAUX;FAUX;Non;1;1;0;Oui;Non;;FAUX;FAUX;FAUX;FAUX;FAUX;Neconnaitpas;2;Non;Non;Non;Oui;"AL;Musique;Vidéos";VRAI;FAUX;VRAI;VRAI;;FAUX;FAUX;FAUX;"PS;GS;MS";VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;15;74;H;Non;L;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;4;4;3;4;4;4;;dvm;VRAI;FAUX;FAUX;Non;3;3;3;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Oui;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CE2";FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;12;74;H;Non;Etranger;Ouiavant;1
Non;FAUX;FAUX;VRAI;;FAUX;FAUX;FAUX;FAUX;;4;3;3;4;4;3;3;4;;dvm;VRAI;FAUX;FAUX;Non;2;2;1;Oui;Oui;"LLSHS;Enseignement;Informatique";VRAI;VRAI;VRAI;FAUX;FAUX;;1;Oui;Oui;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;"CM1;CM2";FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;5;74;H;;ES;Oui;1
OuiHors;FAUX;VRAI;FAUX;FPres;FAUX;VRAI;FAUX;FAUX;NonNexistePas;3;3;4;4;3;2;2;2;;dvm;VRAI;FAUX;FAUX;Non;1;5;2;Oui;Neconnaitpas;;FAUX;FAUX;FAUX;FAUX;FAUX;;1;Non;Non;Non;Oui;"AL;Musique;RS;Vidéos";VRAI;VRAI;VRAI;VRAI;Mettreenligne;VRAI;FAUX;FAUX;CM2;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;13;85;H;Non;S;Oui;1
